Title,Release date,Year,Month,Season,runTime,Genre,MPAA_Rating,is_original,is_franchise,averageRating,numVotes,performance,Original,Franchise
Earth and Blood,4/17/2020,2020,4,Spring,80,Action,Not Rated,0,0,5.2,3068,Streaming-flop,Non-Original,Non-Francise
Rising High,4/17/2020,2020,4,Spring,94,Satire drama,Not Rated,0,0,6,6144,Streaming-flop,Non-Original,Non-Francise
Sergio,4/17/2020,2020,4,Spring,118,Biopic,R,0,0,6.2,11933,Streaming-flop,Non-Original,Non-Francise
The Willoughbys,4/22/2020,2020,4,Spring,92,Animated comedy,PG,0,0,6.4,23312,Streaming-flop,Non-Original,Non-Francise
Time to Hunt,4/23/2020,2020,4,Spring,135,Action thriller,Not Rated,0,0,6.3,7670,Streaming-flop,Non-Original,Non-Francise
Extraction,4/24/2020,2020,4,Spring,117,Action,R,1,0,6.8,287546,Streaming-flop,Original,Non-Francise
Dangerous Lies,4/30/2020,2020,4,Spring,97,Thriller,Not Rated,0,0,5.4,19953,Streaming-flop,Non-Original,Non-Francise
All Day and a Night,5/1/2020,2020,5,Spring,121,Drama,R,0,0,6,4802,Streaming-flop,Non-Original,Non-Francise
Mrs. Serial Killer,5/1/2020,2020,5,Spring,107,Crime,Not Rated,0,0,4,19136,Streaming-flop,Non-Original,Non-Francise
The Half of It,5/1/2020,2020,5,Spring,105,Teen romance,PG-13,0,0,6.9,47033,Streaming-flop,Non-Original,Non-Francise
The Wrong Missy,5/13/2020,2020,5,Spring,90,Black comedy,R,0,0,5.8,50196,Streaming-flop,Non-Original,Non-Francise
The Lovebirds,5/22/2020,2020,5,Spring,87,Romantic comedy,R,0,0,6.1,29043,Streaming-flop,Non-Original,Non-Francise
Intuition,5/28/2020,2020,5,Spring,116,Crime thriller,Not Rated,0,0,5.6,3339,Streaming-flop,Non-Original,Non-Francise
The Last Days of American Crime,6/5/2020,2020,6,Summer,149,Heist thriller,R,0,0,3.8,12917,Streaming-flop,Non-Original,Non-Francise
Da 5 Bloods,6/12/2020,2020,6,Summer,155,War drama,R,0,0,6.5,57349,Streaming-flop,Non-Original,Non-Francise
A Whisker Away,6/18/2020,2020,6,Summer,105,Anime fantasy,PG,0,0,6.7,17691,Streaming-flop,Non-Original,Non-Francise
